accession	source_database	name	taxId	scientificName	length	entry_accession	entry_protein_locations
A0A2K6K9B5	unreviewed	TNase-like domain-containing protein	61621	Rhinopithecus bieti	568	PF00565	19..135,189..296,337..464	
A0A2K6KE30	unreviewed	TNase-like domain-containing protein	61621	Rhinopithecus bieti	134	PF00565	71..118	
A0A2K6PMW7	unreviewed	Staphylococcal nuclease domain-containing protein	61622	Rhinopithecus roxellana	910	PF00565	51..166,220..327,368..495,553..659,847..894	
A0A2K6PMY4	unreviewed	Staphylococcal nuclease domain-containing protein	61622	Rhinopithecus roxellana	919	PF00565	60..175,229..336,377..504,562..668,856..903	
A0A2K6UMW6	unreviewed	Staphylococcal nuclease domain-containing protein	39432	Saimiri boliviensis boliviensis	903	PF00565	44..159,213..320,361..488,546..652,840..887	
A0A2K6UMY6	unreviewed	Staphylococcal nuclease domain-containing protein	39432	Saimiri boliviensis boliviensis	910	PF00565	51..166,220..327,368..495,553..659,847..894	
A0A2K6UMZ5	unreviewed	Staphylococcal nuclease domain-containing protein	39432	Saimiri boliviensis boliviensis	894	PF00565	35..150,204..311,352..479,537..643,831..878	
A0A2K6UN38	unreviewed	TNase-like domain-containing protein	39432	Saimiri boliviensis boliviensis	614	PF00565	43..159,213..320,361..488	
A0A2K6UN54	unreviewed	Staphylococcal nuclease domain-containing protein	39432	Saimiri boliviensis boliviensis	873	PF00565	183..290,331..458,516..622,810..857	
A0A2K9QLA8	unreviewed	Staphylococcal nuclease domain-containing protein	43700	Monopterus albus	911	PF00565	50..166,220..328,367..496,554..661	
A0A2L0P0L3	unreviewed	Probable endonuclease LCL3	29856	Bionectria ochroleuca	886	PF00565	32..141,198..304,342..452,510..614	
A0A2L2SWK9	unreviewed	Probable endonuclease LCL3	56646	Fusarium venenatum	885	PF00565	32..139,198..304,342..452,510..615	
A0A2L2T5G2	unreviewed	Probable endonuclease LCL3	56646	Fusarium venenatum	270	PF00565	137..246	
A0A2L2Z5S6	unreviewed	TNase-like domain-containing protein	114398	Parasteatoda tepidariorum	72	PF00565	3..72	
A0A2M3YY39	unreviewed	Staphylococcal nuclease domain-containing protein	58242	Anopheles braziliensis	927	PF00565	52..166,226..333,377..493,554..665	
A0A2M3ZZQ2	unreviewed	Staphylococcal nuclease domain-containing protein	58253	Anopheles triannulatus	928	PF00565	53..167,227..334,379..494,555..666	
A0A2M4BCK9	unreviewed	Staphylococcal nuclease domain-containing protein	58244	Anopheles marajoara	928	PF00565	53..167,227..334,379..494,555..666	
A0A2N0Q6N4	unreviewed	Transcription factor	588596	Rhizophagus irregularis	879	PF00565	34..146,206..314,354..462,522..626,773..869	
A0A2N0RDP4	unreviewed	Transcription factor	588596	Rhizophagus irregularis	879	PF00565	34..146,206..314,354..462,522..626,773..869	
A0A2N1JAG9	unreviewed	TNase-like domain-containing protein	2020962	Malassezia vespertilionis	746	PF00565	607..693	
A0A2N1MZS6	unreviewed	Staphylococcal nuclease domain-containing protein	588596	Rhizophagus irregularis	879	PF00565	34..146,206..314,354..462,522..626,773..869	
A0A2N3N1Z7	unreviewed	Probable endonuclease LCL3	41688	Lomentospora prolificans	296	PF00565	150..269	
A0A2N3N9S0	unreviewed	Probable endonuclease LCL3	41688	Lomentospora prolificans	887	PF00565	34..143,201..306,344..454,512..617	
A0A2N5S9Q4	unreviewed	TNase-like domain-containing protein	200324	Puccinia coronata f. sp. avenae	213	PF00565	110..212	
A0A2N5T004	unreviewed	TNase-like domain-containing protein	200324	Puccinia coronata f. sp. avenae	241	PF00565	110..213	
A0A2N5U6A3	unreviewed	Endonuclease lcl3	200324	Puccinia coronata f. sp. avenae	946	PF00565	408..518,576..682,841..936	
A0A2N5W8F3	unreviewed	TNase-like domain-containing protein	200324	Puccinia coronata f. sp. avenae	253	PF00565	110..221	
A0A2N6NLY6	unreviewed	Probable endonuclease LCL3	176275	Beauveria bassiana	260	PF00565	129..238	
A0A2N6NM89	unreviewed	Probable endonuclease LCL3	176275	Beauveria bassiana	883	PF00565	32..141,198..304,341..451,509..614	
A0A2N8UAP8	unreviewed	100 kDa protein P100	72559	Sporisorium reilianum f. sp. reilianum	1011	PF00565	252..385,436..546,606..712	
A0A2N8UAX0	unreviewed	TNase-like domain-containing protein	72559	Sporisorium reilianum f. sp. reilianum	341	PF00565	166..200,212..323	
A0A2N9FNQ9	unreviewed	Ribonuclease	28930	Fagus sylvatica	1023	PF00565	45..153,275..367,618..715,894..1000	
A0A2N9J4N1	unreviewed	TNase-like domain-containing protein	28930	Fagus sylvatica	770	PF00565	224..318,552..646,663..752	
A0A2N9J6G5	unreviewed	TNase-like domain-containing protein	28930	Fagus sylvatica	334	PF00565	224..318	
A0A2N9J7C1	unreviewed	TNase-like domain-containing protein	28930	Fagus sylvatica	336	PF00565	224..318	
A0A2N9J7K6	unreviewed	TNase-like domain-containing protein	28930	Fagus sylvatica	458	PF00565	224..318	
A0A2P2HKC8	unreviewed	Probable endonuclease LCL3	1392242	Aspergillus flavus (strain ATCC MYA-384 / AF70)	881	PF00565	200..306,345..455,513..618,780..874	
A0A2P2HMR2	unreviewed	Probable endonuclease LCL3	1392242	Aspergillus flavus (strain ATCC MYA-384 / AF70)	277	PF00565	130..247	
A0A2P2HX78	unreviewed	Staphylococcal nuclease domain-containing protein 1-like	1518452	Hirondellea gigas	895	PF00565	47..159,217..322,363..485,543..652	
A0A2P2KIS8	unreviewed	TNase-like domain-containing protein	61149	Rhizophora mucronata	100	PF00565	2..82	
A0A2P2KIT1	unreviewed	TNase-like domain-containing protein	61149	Rhizophora mucronata	337	PF00565	225..319	
A0A2P2MGR8	unreviewed	Uncharacterized protein MANES_14G043200	61149	Rhizophora mucronata	813	PF00565	95..187,234..378,440..538,689..790	
A0A2P2MGS5	unreviewed	Ribonuclease	61149	Rhizophora mucronata	991	PF00565	44..153,273..365,618..716,867..968	
A0A2P2MGS7	unreviewed	TNase-like domain-containing protein	61149	Rhizophora mucronata	592	PF00565	44..153,273..365	
A0A2P2MGT8	unreviewed	Uncharacterized protein	61149	Rhizophora mucronata	652	PF00565	279..377,528..629	
A0A2P2MGY6	unreviewed	Uncharacterized protein MANES_14G043200	61149	Rhizophora mucronata	813	PF00565	95..187,440..538,689..790	
A0A2P2MH02	unreviewed	Ribonuclease	61149	Rhizophora mucronata	991	PF00565	44..153,273..365,412..556,618..716,867..968	
A0A2P2SXL5	unreviewed	Probable endonuclease LCL3	342668	Pseudogymnoascus verrucosus	881	PF00565	32..140,199..305,343..453,511..616	
A0A2P4VAH7	unreviewed	Staphylococcal nuclease domain-containing protein 1	31234	Caenorhabditis remanei	794	PF00565	135..241,282..404,465..581	
A0A2P4XG61	unreviewed	TNase-like domain-containing protein	611791	Phytophthora palmivora var. palmivora	249	PF00565	122..232	
A0A2P4YKI6	unreviewed	Tudor domain-containing protein	611791	Phytophthora palmivora var. palmivora	199	PF00565	94..187	
A0A2P4ZKR5	unreviewed	Probable endonuclease LCL3	398673	Trichoderma gamsii	886	PF00565	32..141,198..304,342..452,510..615	
A0A2P4ZT64	unreviewed	Probable endonuclease LCL3	398673	Trichoderma gamsii	604	PF00565	472..581	
A0A2P5BR72	unreviewed	TNase-like domain-containing protein	3476	Parasponia andersonii	332	PF00565	219..313	
A0A2P5DD82	unreviewed	Nuclease domain-containing protein	3476	Parasponia andersonii	1124	PF00565	176..284,402..497,750..849,997..1102	
A0A2P5E0M2	unreviewed	TNase-like domain-containing protein	3476	Parasponia andersonii	331	PF00565	219..313	
A0A2P5ECL1	unreviewed	TNase-like domain-containing protein	63057	Trema orientale	331	PF00565	219..313	
A0A2P5EFK1	unreviewed	TNase-like domain-containing protein	63057	Trema orientale	332	PF00565	219..313	
A0A2P5FIB0	unreviewed	Nuclease domain-containing protein	63057	Trema orientale	1123	PF00565	175..283,402..496,749..848,995..1101	
A0A2P5HEF3	unreviewed	Probable endonuclease LCL3	158607	Diaporthe helianthi	289	PF00565	132..244	
A0A2P5HXL4	unreviewed	Probable endonuclease LCL3	158607	Diaporthe helianthi	879	PF00565	33..141,199..304,341..451,509..614	
A0A2P5XEE5	unreviewed	TNase-like domain-containing protein	3634	Gossypium barbadense	318	PF00565	179..259	
A0A2P5Y4T1	unreviewed	Ribonuclease	3634	Gossypium barbadense	997	PF00565	43..152,273..366,617..715,865..969	
A0A2P5Y8K3	unreviewed	TNase-like domain-containing protein	3634	Gossypium barbadense	147	PF00565	40..108	
A0A2P5Y8L4	unreviewed	TNase-like domain-containing protein	3634	Gossypium barbadense	356	PF00565	243..337	
A0A2P5Y8L8	unreviewed	TNase-like domain-containing protein	3634	Gossypium barbadense	668	PF00565	202..277,557..633	
A0A2P5Y8L9	unreviewed	TNase-like domain-containing protein	3634	Gossypium barbadense	414	PF00565	188..264,329..378	
A0A2P5YU14	unreviewed	Ribonuclease	3634	Gossypium barbadense	1053	PF00565	76..156,280..371,627..725,924..1027	
A0A2P6MQZ9	unreviewed	Uncharacterized protein	1890364	Planoprotostelium fungivorum	938	PF00565	62..178,232..334,419..510,573..680,825..914	
A0A2P6P4G4	unreviewed	Putative micrococcal nuclease	74649	Rosa chinensis	1081	PF00565	128..243,365..458,505..649,710..807,955..1059	
A0A2P6PXP4	unreviewed	Ribonuclease	74649	Rosa chinensis	926	PF00565	38..159,224..333,380..501,562..660,804..906	
A0A2P6Q0Z3	unreviewed	Ribonuclease	74649	Rosa chinensis	877	PF00565	37..134,207..300,340..466,526..625,757..857	
A0A2P6SLH6	unreviewed	TNase-like domain-containing protein	74649	Rosa chinensis	334	PF00565	222..316	
A0A2P6TIZ8	unreviewed	TNase-like domain-containing protein	3076	Chlorella sorokiniana	306	PF00565	89..194	
A0A2P6TZL2	unreviewed	Ribonuclease	3076	Chlorella sorokiniana	997	PF00565	34..140,254..369,409..535,599..705	
A0A2P6U389	unreviewed	TNase-like domain-containing protein	3076	Chlorella sorokiniana	490	PF00565	59..166	
A0A2P6V0P7	unreviewed	TNase-like domain-containing protein	554055	Micractinium conductrix	294	PF00565	80..187	
A0A2P6VAV3	unreviewed	Uncharacterized protein	554055	Micractinium conductrix	1219	PF00565	251..358,398..525,589..695	
A0A2P6VAY3	unreviewed	Uncharacterized protein	554055	Micractinium conductrix	1204	PF00565	236..343,383..510,574..680	
A0A2P7YII9	unreviewed	Probable endonuclease LCL3	418784	[Candida] pseudohaemulonii	225	PF00565	102..211	
A0A2P7YLY2	unreviewed	Uncharacterized protein	418784	[Candida] pseudohaemulonii	895	PF00565	183..286,530..621,789..884	
A0A2P7Z267	unreviewed	Probable endonuclease LCL3	40998	Elsinoe australis	884	PF00565	31..141,197..306,345..455,513..618,781..877	
A0A2P8AJN0	unreviewed	Probable endonuclease LCL3	40998	Elsinoe australis	366	PF00565	169..226,259..321	
A0A2P9BG90	unreviewed	Tudor staphylococcal nuclease	880534	Plasmodium sp. gorilla clade G1	1100	PF00565	47..137,306..398,765..857	
A0A2P9C548	unreviewed	Tudor staphylococcal nuclease	880535	Plasmodium sp. gorilla clade G2	1096	PF00565	47..137,307..398,766..853	
A0A2P9CRF6	unreviewed	Tudor staphylococcal nuclease	720590	Plasmodium sp. DRC-Itaito	1094	PF00565	47..137,309..400,764..851	
A0A2P9DB06	unreviewed	Tudor staphylococcal nuclease	880536	Plasmodium sp. gorilla clade G3	1079	PF00565	46..137,282..373,749..836	
A0A2P9DGX9	unreviewed	Tudor staphylococcal nuclease	5854	Plasmodium reichenowi	1099	PF00565	47..137,307..399,764..856	
A0A2P9GMF1	unreviewed	Tudor staphylococcal nuclease	720590	Plasmodium sp. DRC-Itaito	1122	PF00565	47..137,318..409,792..879	
A0A2R5G8N1	unreviewed	Staphylococcal nuclease domain-containing protein 1	2315210	Hondaea fermentalgiana	947	PF00565	33..143,202..318,364..486,554..667	
A0A2R5LE81	unreviewed	Staphylococcal nuclease domain-containing protein 1	34597	Ornithodoros turicata	892	PF00565	29..155,212..314,353..479,539..645,797..877	
A0A2R6NNF7	unreviewed	Transcription factor	98765	Hermanssonia centrifuga	893	PF00565	26..133,191..314,361..471,532..638	
A0A2R6PDB7	unreviewed	TNase-like domain-containing protein	1590841	Actinidia chinensis var. chinensis	484	PF00565	40..144,266..359	
A0A2R6PLM4	unreviewed	TNase-like domain-containing protein	1590841	Actinidia chinensis var. chinensis	334	PF00565	222..316	
A0A2R6PSK8	unreviewed	Ribonuclease	1590841	Actinidia chinensis var. chinensis	1043	PF00565	77..185,307..400,447..590,653..748,896..1001	
A0A2R6PUT2	unreviewed	TNase-like domain-containing protein	1590841	Actinidia chinensis var. chinensis	561	PF00565	157..212,369..440	
A0A2R6QG61	unreviewed	Ribonuclease	1590841	Actinidia chinensis var. chinensis	988	PF00565	40..147,270..362,409..555,615..713,861..966	
A0A2R6RTB0	unreviewed	TNase-like domain-containing protein	1590841	Actinidia chinensis var. chinensis	172	PF00565	60..155	
A0A2R6X7N8	unreviewed	Ribonuclease	3197	Marchantia polymorpha	994	PF00565	35..144,274..367,414..561,621..719,868..971	
A0A2R8P7V0	unreviewed	Staphylococcal nuclease domain-containing protein	9483	Callithrix jacchus	874	PF00565	34..150,204..311,352..479,537..643,811..858	
A0A2R9CFT3	unreviewed	Staphylococcal nuclease domain-containing protein	9597	Pan paniscus	909	PF00565	50..165,219..326,367..494,552..658,846..893	
A0A2R9CFW2	unreviewed	Staphylococcal nuclease domain-containing protein	9597	Pan paniscus	894	PF00565	35..150,204..311,352..479,537..643,831..878	
A0A2R9CFY9	unreviewed	Staphylococcal nuclease domain-containing protein	9597	Pan paniscus	910	PF00565	51..166,220..327,368..495,553..659,847..894	
A0A2S2P201	unreviewed	TNase-like domain-containing protein	13262	Schizaphis graminum	521	PF00565	49..167,222..322,391..495	
A0A2S2Q6G9	unreviewed	Staphylococcal nuclease domain-containing protein	143950	Sipha flava	901	PF00565	50..145,205..304,355..478,538..646	
A0A2S3GPW9	unreviewed	Ribonuclease	206008	Panicum hallii	986	PF00565	40..148,271..362,409..553,614..712,859..964	
A0A2S3H5F1	unreviewed	TNase-like domain-containing protein	206008	Panicum hallii	252	PF00565	136..229	
A0A2S3HY14	unreviewed	TNase-like domain-containing protein	206008	Panicum hallii	331	PF00565	218..312	
A0A2S4KKY0	unreviewed	Probable endonuclease LCL3	94208	Tolypocladium paradoxum	599	PF00565	465..574	
A0A2S4L3C7	unreviewed	Probable endonuclease LCL3	94208	Tolypocladium paradoxum	885	PF00565	32..141,198..304,342..452,510..614	
A0A2S4PRA8	unreviewed	Probable endonuclease LCL3	225359	Erysiphe pulchra	956	PF00565	275..385,422..532,590..694	
A0A2S4Q2C8	unreviewed	Probable endonuclease LCL3	225359	Erysiphe pulchra	635	PF00565	527..635	
A0A2S4V9Z7	unreviewed	Endonuclease LCL3	27350	Puccinia striiformis	937	PF00565	31..152,403..513,571..677,832..926	
A0A2S4VZ19	unreviewed	TNase-like domain-containing protein	27350	Puccinia striiformis	224	PF00565	86..197	
A0A2S4WMI5	unreviewed	Endonuclease LCL3	27350	Puccinia striiformis	916	PF00565	405..515,573..679	
A0A2S4WNW6	unreviewed	TNase-like domain-containing protein	27350	Puccinia striiformis	244	PF00565	106..217	
A0A2S5B1Q6	unreviewed	TNase-like domain-containing protein	741276	Rhodotorula taiwanensis	285	PF00565	154..265	
A0A2S5B651	unreviewed	Transcription factor	741276	Rhodotorula taiwanensis	955	PF00565	45..169,229..356,400..509,569..669,851..944	
A0A2S6BS17	unreviewed	Probable endonuclease LCL3	357750	Cercospora berteroae	887	PF00565	29..141,197..306,343..453,511..616,782..880	
A0A2S6BYX2	unreviewed	Probable endonuclease LCL3	357750	Cercospora berteroae	279	PF00565	135..244	
A0A2S7Q0V8	unreviewed	Probable endonuclease LCL3	2070414	Rutstroemia sp. NJR-2017a BBW	261	PF00565	129..238	
A0A2S7Q8E7	unreviewed	Probable endonuclease LCL3	2070413	Rutstroemia sp. NJR-2017a BVV2	268	PF00565	136..245	
A0A2S7QAA5	unreviewed	Probable endonuclease LCL3	2070414	Rutstroemia sp. NJR-2017a BBW	946	PF00565	83..206,265..372,409..519,577..681	
A0A2S7QSJ4	unreviewed	Probable endonuclease LCL3	2070412	Rutstroemia sp. NJR-2017a WRK4	946	PF00565	83..206,265..372,409..519,577..681	
A0A2S7QT17	unreviewed	Probable endonuclease LCL3	2070412	Rutstroemia sp. NJR-2017a WRK4	261	PF00565	129..238	
A0A2S7Y7U7	unreviewed	Probable endonuclease LCL3	176275	Beauveria bassiana	260	PF00565	129..238	
A0A2S7YGD3	unreviewed	Probable endonuclease LCL3	176275	Beauveria bassiana	883	PF00565	32..141,198..304,341..451,509..613	
A0A2S9ZZB8	unreviewed	TNase-like domain-containing protein	5286	Rhodotorula toruloides	251	PF00565	122..232	
A0A2T0FPA2	unreviewed	TNase-like domain-containing protein	45607	Wickerhamiella sorbophila	835	PF00565	187..292,326..434,495..593	
A0A2T2NEL0	unreviewed	Probable endonuclease LCL3	1448308	Corynespora cassiicola Philippines	272	PF00565	127..236	
A0A2T2P3Z2	unreviewed	Probable endonuclease LCL3	1448308	Corynespora cassiicola Philippines	882	PF00565	199..306,344..454,512..617	
A0A2T3A6W2	unreviewed	Probable endonuclease LCL3	2025994	Coniella lustricola	884	PF00565	34..143,200..306,343..453,511..616	
A0A2T3AAV4	unreviewed	Probable endonuclease LCL3	2025994	Coniella lustricola	297	PF00565	141..253	
A0A2T3B849	unreviewed	Probable endonuclease LCL3	857342	Amorphotheca resinae ATCC 22711	259	PF00565	127..236	
A0A2T3BFG0	unreviewed	Probable endonuclease LCL3	857342	Amorphotheca resinae ATCC 22711	879	PF00565	17..140,199..306,343..453,511..615	
A0A2T3YUY4	unreviewed	Probable endonuclease LCL3	1042311	Trichoderma asperellum CBS 433.97	886	PF00565	32..141,198..304,342..452,510..615	
A0A2T3ZPJ2	unreviewed	Probable endonuclease LCL3	1042311	Trichoderma asperellum CBS 433.97	586	PF00565	454..563	
A0A2T4A3R9	unreviewed	Probable endonuclease LCL3	983964	Trichoderma harzianum CBS 226.95	884	PF00565	33..141,199..304,342..452,510..615,774..877	
A0A2T4ANI9	unreviewed	Probable endonuclease LCL3	983964	Trichoderma harzianum CBS 226.95	264	PF00565	131..240	
A0A2T4B896	unreviewed	Probable endonuclease LCL3	58853	Trichoderma citrinoviride	266	PF00565	132..241	
A0A2T4BRH5	unreviewed	Probable endonuclease LCL3	983965	Trichoderma longibrachiatum ATCC 18648	843	PF00565	32..141,198..304,342..452,510..615	
A0A2T4CIN0	unreviewed	Probable endonuclease LCL3	983965	Trichoderma longibrachiatum ATCC 18648	599	PF00565	466..575	
A0A2T4GQG7	unreviewed	Probable endonuclease LCL3	5516	Fusarium culmorum	885	PF00565	32..139,198..304,342..452,510..615	
A0A2T4H2H6	unreviewed	Probable endonuclease LCL3	5516	Fusarium culmorum	263	PF00565	130..239	
A0A2T5M4B9	unreviewed	Probable endonuclease LCL3	1392256	Aspergillus ochraceoroseus IBT 24754	297	PF00565	144..261	
A0A2T5M9W4	unreviewed	Probable endonuclease LCL3	1392256	Aspergillus ochraceoroseus IBT 24754	884	PF00565	198..306,346..456,514..619,784..877	
A0A2T6IEE0	unreviewed	TNase-like domain-containing protein	943120	Toxoplasma gondii TgCATBr9	629	PF00565	323..421,534..609	
A0A2T6INQ4	unreviewed	TNase-like domain-containing protein	943120	Toxoplasma gondii TgCATBr9	401	PF00565	32..140,224..320	
A0A2T6INQ8	unreviewed	Nuclease and tudor domain-containing protein	943120	Toxoplasma gondii TgCATBr9	512	PF00565	131..248	
A0A2T6J0I3	unreviewed	TNase-like domain-containing protein	943120	Toxoplasma gondii TgCATBr9	449	PF00565	127..194,253..298	
A0A2T6ZFF5	unreviewed	Probable endonuclease LCL3	42251	Tuber borchii	880	PF00565	30..139,199..309,345..454,513..618,774..873	
A0A2T6ZRL6	unreviewed	Probable endonuclease LCL3	42251	Tuber borchii	264	PF00565	127..236	
A0A2T7CUI9	unreviewed	Uncharacterized protein	1504633	Panicum hallii var. hallii	1084	PF00565	37..144,270..361,609..702,929..1031	
A0A2T7DRH3	unreviewed	TNase-like domain-containing protein	1504633	Panicum hallii var. hallii	331	PF00565	218..312	
A0A2T7DRI5	unreviewed	TNase-like domain-containing protein	1504633	Panicum hallii var. hallii	271	PF00565	166..243	
A0A2T7DRJ4	unreviewed	TNase-like domain-containing protein	1504633	Panicum hallii var. hallii	238	PF00565	166..222	
A0A2T7E4D6	unreviewed	TNase-like domain-containing protein	1504633	Panicum hallii var. hallii	358	PF00565	242..335	
A0A2T7F713	unreviewed	Ribonuclease	1504633	Panicum hallii var. hallii	986	PF00565	40..148,271..362,409..553,614..712,859..964	
A0A2T7P5G8	unreviewed	TNase-like domain-containing protein	400727	Pomacea canaliculata	135	PF00565	29..119	
A0A2T7P5H0	unreviewed	Staphylococcal nuclease domain-containing protein 1	400727	Pomacea canaliculata	650	PF00565	21..69,111..236,294..401,549..634	
A0A2T8I6Z7	unreviewed	TNase-like domain-containing protein	206008	Panicum hallii	358	PF00565	242..335	
A0A2T8IC59	unreviewed	Uncharacterized protein	206008	Panicum hallii	1061	PF00565	37..144,270..361,609..702,929..1031	
A0A2T9Y406	unreviewed	TNase-like domain-containing protein	61424	Furculomyces boomerangus	207	PF00565	78..187	
A0A2T9Y5Z8	unreviewed	Endonuclease lcl3	133385	Smittium simulii	895	PF00565	40..155,210..319,357..464,524..626	
A0A2T9Y8G4	unreviewed	TNase-like domain-containing protein	133385	Smittium simulii	243	PF00565	109..220	
A0A2T9YME8	unreviewed	Endonuclease LCL3	61424	Furculomyces boomerangus	895	PF00565	47..156,232..324,361..467,528..630,782..884	
A0A2T9Z8Z5	unreviewed	TNase-like domain-containing protein	133381	Smittium megazygosporum	236	PF00565	107..218	
A0A2T9ZL66	unreviewed	Endonuclease lcl3	133381	Smittium megazygosporum	890	PF00565	39..154,230..319,357..463,524..626	
A0A2U1IVL5	unreviewed	Endonuclease LCL3	133377	Smittium angustum	895	PF00565	47..156,232..324,361..467,528..630,782..884	
A0A2U1LJJ0	unreviewed	TNase-like domain-containing protein	35608	Artemisia annua	150	PF00565	25..103	
A0A2U1LLU4	unreviewed	TNase-like domain-containing protein	35608	Artemisia annua	178	PF00565	56..148	
A0A2U1NEP7	unreviewed	Ribonuclease	35608	Artemisia annua	984	PF00565	39..144,265..356,609..708,857..961	
A0A2U1PRL7	unreviewed	TNase-like domain-containing protein	35608	Artemisia annua	343	PF00565	230..324	
A0A2U1PRN5	unreviewed	TNase-like domain-containing protein	35608	Artemisia annua	331	PF00565	218..312	
A0A2U1QE83	unreviewed	TNase-like domain-containing protein	35608	Artemisia annua	488	PF00565	393..470	
A0A2U3E6I5	unreviewed	Probable endonuclease LCL3	33203	Purpureocillium lilacinum	884	PF00565	32..140,197..303,341..451,509..614	
A0A2U3EIF1	unreviewed	Probable endonuclease LCL3	33203	Purpureocillium lilacinum	2428	PF00565	456..565	
A0A2U3VS31	unreviewed	Staphylococcal nuclease domain-containing protein	9708	Odobenus rosmarus divergens	910	PF00565	51..166,220..327,368..495,553..659,847..894	
A0A2U3YW32	unreviewed	Staphylococcal nuclease domain-containing protein 1	9713	Leptonychotes weddellii	310	PF00565	2..59,247..294	
A0A2U3YYT1	unreviewed	TNase-like domain-containing protein	9713	Leptonychotes weddellii	423	PF00565	50..166,220..327	
A0A2U9B2D5	unreviewed	Staphylococcal nuclease domain-containing protein	52904	Scophthalmus maximus	911	PF00565	63..166,220..328,368..496,554..660	
A0A2U9B2V1	unreviewed	Staphylococcal nuclease domain-containing protein 1	52904	Scophthalmus maximus	781	PF00565	63..166,220..328,368..496,554..660	
A0A2U9QZJ0	unreviewed	Uncharacterized protein	4909	Pichia kudriavzevii	860	PF00565	33..133,183..289,333..441,515..601	
A0A2U9R1Z5	unreviewed	Probable endonuclease LCL3	4909	Pichia kudriavzevii	227	PF00565	97..207	
A0A2V0PDX9	unreviewed	TNase-like domain-containing protein	307507	Raphidocelis subcapitata	378	PF00565	68..174	
A0A2V0PEB8	unreviewed	Ribonuclease	307507	Raphidocelis subcapitata	966	PF00565	36..145,256..348,389..516,559..668	
A0A2V1AHF7	unreviewed	Probable endonuclease LCL3	1231522	[Candida] duobushaemulonis	225	PF00565	102..211	
A0A2V1AJC8	unreviewed	Uncharacterized protein	1231522	[Candida] duobushaemulonis	895	PF00565	47..132,183..286,530..621,790..884	
A0A2V1AWF4	unreviewed	Probable endonuclease LCL3	45357	[Candida] haemuloni	225	PF00565	102..211	
A0A2V1B0J4	unreviewed	Uncharacterized protein	45357	[Candida] haemuloni	906	PF00565	47..132,186..290,346..459,540..632	
A0A2V1CKG9	unreviewed	Probable endonuclease LCL3	1485229	Cadophora sp. DSE1049	917	PF00565	56..178,237..345,382..492,550..654	
A0A2V1CT60	unreviewed	Probable endonuclease LCL3	1485229	Cadophora sp. DSE1049	252	PF00565	124..233	
A0A2V1DJ40	unreviewed	Probable endonuclease LCL3	97972	Periconia macrospinosa	272	PF00565	127..237	
A0A2V1DLP7	unreviewed	Probable endonuclease LCL3	97972	Periconia macrospinosa	883	PF00565	197..307,345..455,513..618	
A0A2V2VLD3	unreviewed	TNase-like domain-containing protein	5693	Trypanosoma cruzi	256	PF00565	27..131	
A0A2V2VRL9	unreviewed	TNase-like domain-containing protein	5693	Trypanosoma cruzi	524	PF00565	30..141,217..298,367..483	
A0A2V2VV60	unreviewed	TNase-like domain-containing protein	5693	Trypanosoma cruzi	226	PF00565	80..187	
A0A2V2W8Q0	unreviewed	TNase-like domain-containing protein	5693	Trypanosoma cruzi	226	PF00565	80..187	
A0A2V2WTN5	unreviewed	Uncharacterized protein	5693	Trypanosoma cruzi	918	PF00565	30..141,217..298,551..655	
A0A2V2XIS8	unreviewed	Uncharacterized protein	5693	Trypanosoma cruzi	918	PF00565	30..141,217..298,551..655	
A0A2V2XJ47	unreviewed	TNase-like domain-containing protein	5693	Trypanosoma cruzi	226	PF00565	80..187	
A0A2V3IFK5	unreviewed	TNase-like domain-containing protein	448386	Gracilariopsis chorda	211	PF00565	93..188	
A0A2V3IV69	unreviewed	TNase-like domain-containing protein	448386	Gracilariopsis chorda	293	PF00565	44..164	
A0A2V3IW23	unreviewed	TNase-like domain-containing protein	448386	Gracilariopsis chorda	365	PF00565	175..295	
A0A2V3IX73	unreviewed	Ribonuclease TUDOR 2	448386	Gracilariopsis chorda	925	PF00565	41..147,231..328,549..666,819..912	
A0A2V3J1X1	unreviewed	TNase-like domain-containing protein	448386	Gracilariopsis chorda	181	PF00565	70..165	
A0A2V5GS19	unreviewed	Probable endonuclease LCL3	1450538	Aspergillus violaceofuscus (strain CBS 115571)	277	PF00565	127..244	
A0A2V5HU57	unreviewed	Probable endonuclease LCL3	1450541	Aspergillus indologenus CBS 114.80	277	PF00565	127..244	
A0A2V5I5T9	unreviewed	Probable endonuclease LCL3	1450538	Aspergillus violaceofuscus (strain CBS 115571)	883	PF00565	201..306,346..456,514..619,819..876	
A0A2V5I868	unreviewed	Probable endonuclease LCL3	1450541	Aspergillus indologenus CBS 114.80	883	PF00565	201..306,346..456,514..619,819..876	
A0A2W1BLH6	unreviewed	Staphylococcal nuclease domain-containing protein	29058	Helicoverpa armigera	894	PF00565	40..153,209..311,351..476,536..645	
A0A2W1E3M5	unreviewed	Probable endonuclease LCL3	45151	Pyrenophora tritici-repentis	883	PF00565	199..309,347..458,515..620	
A0A2W1FC49	unreviewed	Probable endonuclease LCL3	45151	Pyrenophora tritici-repentis	271	PF00565	126..235	
A0A2X0KAP1	unreviewed	BZ3500_MvSof-1268-A1-R1_Chr2-1g04411 protein	289078	Microbotryum saponariae	937	PF00565	222..356,403..512,572..675	
A0A2X0MIE4	unreviewed	Endonuclease LCL3	796604	Microbotryum silenes-dioicae	942	PF00565	227..361,408..517,577..680	
